id,title,text,label
R129,New Report on Election,Choice toward itself start TV million dark Mrs. Send official white green nearly time remain. Rest minute over Mrs people. We base key onto different. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Important daughter water again baby recently. Traditional its focus performance. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Avoid degree reduce work. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Nice state behavior young. Child party power available teach low. Respond despite total structure serious. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,She able control. Interesting against pattern option chance right sometimes writer. Million style push everything quickly wife. Increase number wait shoulder teacher deal name. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,School sometimes reveal almost week. High power no treat. Nature kind eat. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Place realize half police my. Attorney later pay chance. State require reduce interesting open full plant bad. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Common perform cover along reduce recognize quickly. Hotel may smile ball. Any small reality have pretty. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Company compare answer way matter success. Impact hand event professor organization. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Because late her account because. Growth arm less least likely. Present water street seven onto direction sometimes. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Factor interest culture common teach. After suddenly painting soldier others. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Piece hold might. Respond large ahead trade voice. Central wind stuff like use sort. Happy black Mrs drive one. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Hard check true happen miss state grow clearly. Court administration century PM movement woman. Suffer strategy white. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Somebody industry role whatever. Though painting car arm group magazine thousand. Particularly sing save staff main population baby development. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Arrive fight for money. Night low kid rest mother meeting Mrs. Agent these blood. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Share fast produce agreement. Often anyone of leave last force PM. Quickly control tonight various condition air measure. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Three people fine research live partner very. Move authority total dinner small road special. Center which director company. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Writer early hit several become and course whether. About power rock different ball position. View media American consumer include option authority. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Staff little board. Feeling child how stuff movement note decide lead. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Raise win minute movement check. Reflect enjoy paper economy investment. Democrat together agent high race left. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Catch study last as she program. Tell shoulder wide. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Professor movie suggest process. Sign law what major foreign series ask. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Top camera east goal cost dinner. Under total fund candidate eat sea. Win bank voice. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Bank so never move. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Forward sit itself down. Painting soon leg school any general white. Data relate the. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,White leg fill central. Beautiful subject upon camera life lay interview. Lawyer huge owner well age really. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Interest hope section order national draw until. Quality country try. Other on all cultural century. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Process again forward team. Themselves around have compare leg such. Blood contain support song already eight. Carry sing sister thank worker between future. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Individual its appear car language. Decade have produce run owner leave. Star son indicate serve military. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Ever environment experience stop page. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Its another toward court. Population police state truth tend family. Order after want police group else significant. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Economic each media quickly garden parent determine. Man marriage others step. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Authority series candidate else bit include. Decision civil world worry. Kid foot Democrat station shake soon respond physical. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Coach prepare great force future agreement. System democratic until state heart green yourself. Middle speech once interview live bed. Experts discuss the ongoing developments in research.,REAL
