id,title,label,filtered_words_str
R129,New Report on Election,REAL,"choice,toward,start,tv,million,dark,mrs.,send,official,white,green,nearly,time,remain.,rest,minute,mrs,people.,base,key,onto,different.,experts,discuss,ongoing,developments,election."
R227,New Report on Climate Change,REAL,"important,daughter,water,baby,recently.,traditional,focus,performance.,experts,discuss,ongoing,developments,climate,change."
F231,Aliens Confirmed by Sources,FAKE,"avoid,degree,reduce,work.,—,shocking,claims,aliens,surface,internet."
R066,New Report on Policy,REAL,"nice,state,behavior,young.,child,party,power,available,teach,low.,respond,despite,total,structure,serious.,experts,discuss,ongoing,developments,policy."
F095,Mind Control Confirmed by Sources,FAKE,"able,control.,interesting,pattern,option,chance,right,sometimes,writer.,million,style,push,everything,quickly,wife.,increase,number,wait,shoulder,teacher,deal,name.,—,shocking,claims,mind,control,surface,internet."
R174,New Report on Policy,REAL,"school,sometimes,reveal,almost,week.,high,power,treat.,nature,kind,eat.,experts,discuss,ongoing,developments,policy."
R201,New Report on Public Health,REAL,"place,realize,half,police,my.,attorney,later,pay,chance.,state,require,reduce,interesting,open,full,plant,bad.,experts,discuss,ongoing,developments,public,health."
R072,New Report on Education,REAL,"common,perform,cover,along,reduce,recognize,quickly.,hotel,may,smile,ball.,small,reality,pretty.,experts,discuss,ongoing,developments,education."
R064,New Report on Research,REAL,"company,compare,answer,way,matter,success.,impact,hand,event,professor,organization.,experts,discuss,ongoing,developments,research."
F037,Miracle Drug Confirmed by Sources,FAKE,"late,account,because.,growth,arm,less,least,likely.,present,water,street,seven,onto,direction,sometimes.,—,shocking,claims,miracle,drug,surface,internet."
R170,New Report on Technology Breakthrough,REAL,"factor,interest,culture,common,teach.,suddenly,painting,soldier,others.,experts,discuss,ongoing,developments,technology,breakthrough."
F110,Celebrity Scandal Confirmed by Sources,FAKE,"piece,hold,might.,respond,large,ahead,trade,voice.,central,wind,stuff,like,use,sort.,happy,black,mrs,drive,one.,—,shocking,claims,celebrity,scandal,surface,internet."
F048,Secret Cure Confirmed by Sources,FAKE,"hard,check,true,happen,miss,state,grow,clearly.,court,administration,century,pm,movement,woman.,suffer,strategy,white.,—,shocking,claims,secret,cure,surface,internet."
F082,Hoax Confirmed by Sources,FAKE,"somebody,industry,role,whatever.,though,painting,car,arm,group,magazine,thousand.,particularly,sing,save,staff,main,population,baby,development.,—,shocking,claims,hoax,surface,internet."
F187,Miracle Drug Confirmed by Sources,FAKE,"arrive,fight,money.,night,low,kid,rest,mother,meeting,mrs.,agent,blood.,—,shocking,claims,miracle,drug,surface,internet."
F027,Miracle Drug Confirmed by Sources,FAKE,"share,fast,produce,agreement.,often,anyone,leave,last,force,pm.,quickly,control,tonight,various,condition,air,measure.,—,shocking,claims,miracle,drug,surface,internet."
F202,Hoax Confirmed by Sources,FAKE,"three,people,fine,research,live,partner,very.,move,authority,total,dinner,small,road,special.,center,director,company.,—,shocking,claims,hoax,surface,internet."
F197,Secret Cure Confirmed by Sources,FAKE,"writer,early,hit,several,become,course,whether.,power,rock,different,ball,position.,view,media,american,consumer,include,option,authority.,—,shocking,claims,secret,cure,surface,internet."
R128,New Report on Climate Change,REAL,"staff,little,board.,feeling,child,stuff,movement,note,decide,lead.,experts,discuss,ongoing,developments,climate,change."
F157,Government Cover-Up Confirmed by Sources,FAKE,"raise,win,minute,movement,check.,reflect,enjoy,paper,economy,investment.,democrat,together,agent,high,race,left.,—,shocking,claims,government,cover-up,surface,internet."
F117,Hoax Confirmed by Sources,FAKE,"catch,study,last,program.,tell,shoulder,wide.,—,shocking,claims,hoax,surface,internet."
F173,Secret Cure Confirmed by Sources,FAKE,"professor,movie,suggest,process.,sign,law,major,foreign,series,ask.,—,shocking,claims,secret,cure,surface,internet."
F024,Aliens Confirmed by Sources,FAKE,"top,camera,east,goal,cost,dinner.,total,fund,candidate,eat,sea.,win,bank,voice.,—,shocking,claims,aliens,surface,internet."
F096,Celebrity Scandal Confirmed by Sources,FAKE,"bank,never,move.,—,shocking,claims,celebrity,scandal,surface,internet."
R247,New Report on Public Health,REAL,"forward,sit,down.,painting,soon,leg,school,general,white.,data,relate,the.,experts,discuss,ongoing,developments,public,health."
F226,Government Cover-Up Confirmed by Sources,FAKE,"white,leg,fill,central.,beautiful,subject,upon,camera,life,lay,interview.,lawyer,huge,owner,well,age,really.,—,shocking,claims,government,cover-up,surface,internet."
F100,Flat Earth Confirmed by Sources,FAKE,"interest,hope,section,order,national,draw,until.,quality,country,try.,cultural,century.,—,shocking,claims,flat,earth,surface,internet."
F246,Government Cover-Up Confirmed by Sources,FAKE,"process,forward,team.,around,compare,leg,such.,blood,contain,support,song,already,eight.,carry,sing,sister,thank,worker,future.,—,shocking,claims,government,cover-up,surface,internet."
F183,Aliens Confirmed by Sources,FAKE,"individual,appear,car,language.,decade,produce,run,owner,leave.,star,son,indicate,serve,military.,—,shocking,claims,aliens,surface,internet."
R063,New Report on Policy,REAL,"ever,environment,experience,stop,page.,experts,discuss,ongoing,developments,policy."
R005,New Report on Election,REAL,"another,toward,court.,population,police,state,truth,tend,family.,order,want,police,group,else,significant.,experts,discuss,ongoing,developments,election."
R084,New Report on Election,REAL,"economic,media,quickly,garden,parent,determine.,man,marriage,others,step.,experts,discuss,ongoing,developments,election."
R124,New Report on Education,REAL,"authority,series,candidate,else,bit,include.,decision,civil,world,worry.,kid,foot,democrat,station,shake,soon,respond,physical.,experts,discuss,ongoing,developments,education."
R118,New Report on Research,REAL,"coach,prepare,great,force,future,agreement.,system,democratic,state,heart,green,yourself.,middle,speech,interview,live,bed.,experts,discuss,ongoing,developments,research."
F001,Aliens Confirmed by Sources,FAKE,"send,people,religious,person,others.,energy,decade,quite,seven,decide.,choose,include,responsibility,on.,—,shocking,claims,aliens,surface,internet."
F007,Immortal Jellyfish Confirmed by Sources,FAKE,"dark,mother.,accept,woman,middle,assume,usually.,whether,building,worker.,—,shocking,claims,immortal,jellyfish,surface,internet."
F046,Mind Control Confirmed by Sources,FAKE,"tough,without,evening,finally,once.,enter,imagine,huge,eye,meet,allow.,—,shocking,claims,mind,control,surface,internet."
R103,New Report on Research,REAL,"force,country,stuff,continue.,experts,discuss,ongoing,developments,research."
R037,New Report on Budget Report,REAL,"yeah,product.,worry,recently,business,address,us,front,either.,experts,discuss,ongoing,developments,budget,report."
F193,Secret Cure Confirmed by Sources,FAKE,"wife,partner,type,total,television.,full,thing,method,table,dark.,—,shocking,claims,secret,cure,surface,internet."
R166,New Report on Election,REAL,"drop,every,hair,southern,local.,change,choice,light.,forward,chair,employee,soon,bed.,experts,discuss,ongoing,developments,election."
